"Type","SKU","Name","Published","Catalog visibility","Is featured?","Description","Regular price","Sale price","Manage stock?","Stock","Low stock amount","Backorders allowed?","Categories","Tags","Meta: source_product_id","Meta: source_cost_price","Meta: source_fractional","Meta: source_unit"
"simple","C1100033","Adesivo Cascão","1","visible","1","<p>Adesivos pet em EVA, modelo Cascão, desenvolvidos para finalização profissional de banho e tosa. Produzidos com recortes sobrepostos e montagem em camadas, possuem acabamento detalhado e bem definido.</p><p><strong>Conteúdo:</strong> 10 unidades<br/><strong>Modelo:</strong> Cascão<br/><strong>Material:</strong> EVA<br/><strong>Composição do pacote:</strong> todos os adesivos são iguais<br/><strong>Acabamento:</strong> montagem em camadas, com base preta e detalhes em cores coordenadas<br/><strong>Aplicação:</strong> diretamente sobre a pelagem do pet</p><p><strong>Fixação e remoção:</strong> fita dupla face de altíssima fixação, que normalmente permanece fixada por 7 a 15 dias, conforme a pelagem e a rotina do pet. Para remover, umedeça com água morna e retire delicadamente, sem puxar os pelos.</p><p><strong>Observação:</strong> as cores e tonalidades podem apresentar pequenas variações conforme o material utilizado e o lote de produção.</p>","13.9","","1","3","0","1","ADESIVOS","","771b4155-61a0-4872-9e2b-db23a63f72f4","6.74","0",""
"simple","C1100040","Adesivo Cebolinha","1","visible","1","<p>Adesivos pet em EVA, modelo Cebolinha, desenvolvidos para finalização profissional de banho e tosa. Produzidos com recortes sobrepostos e montagem em camadas, possuem acabamento detalhado e bem definido.</p><p><strong>Conteúdo:</strong> 10 unidades<br/><strong>Modelo:</strong> Cebolinha<br/><strong>Material:</strong> EVA<br/><strong>Cores:</strong> bege e preto<br/><strong>Composição do pacote:</strong> todos os adesivos são iguais<br/><strong>Acabamento:</strong> montagem em camadas<br/><strong>Aplicação:</strong> diretamente sobre a pelagem do pet</p><p><strong>Fixação e remoção:</strong> fita dupla face de altíssima fixação, que normalmente permanece fixada por 7 a 15 dias, conforme a pelagem e a rotina do pet. Para remover, umedeça com água morna e retire delicadamente, sem puxar os pelos.</p><p><strong>Observação:</strong> as cores e tonalidades podem apresentar pequenas variações conforme o material utilizado e o lote de produção.</p>","12.9","","1","3","0","1","ADESIVOS","","2391c5c3-de0b-4ba6-a16a-acf070b7ea30","6.74","0",""
"simple","C1100118","Adesivo Cerejinha","1","visible","1","<p>Adesivos pet em EVA, modelo cerejinha, desenvolvidos para finalização profissional de banho e tosa. Produzidos com recortes sobrepostos e montagem em camadas, possuem acabamento brilhante e bem definido.</p><p><strong>Conteúdo:</strong> 10 unidades<br/><strong>Modelo:</strong> cerejinha<br/><strong>Material:</strong> EVA<br/><strong>Cores:</strong> vermelho e verde<br/><strong>Composição do pacote:</strong> todos os adesivos são iguais<br/><strong>Acabamento:</strong> montagem em camadas com efeito brilhante<br/><strong>Aplicação:</strong> diretamente sobre a pelagem do pet</p><p><strong>Fixação e remoção:</strong> fita dupla face de altíssima fixação, que normalmente permanece fixada por 7 a 15 dias, conforme a pelagem e a rotina do pet. Para remover, umedeça com água morna e retire delicadamente, sem puxar os pelos.</p><p><strong>Observação:</strong> as cores e tonalidades podem apresentar pequenas variações conforme o material utilizado e o lote de produção.</p>","13.9","","1","4","0","1","ADESIVOS","","69211b3f-3739-4558-aecb-aceeb8aea07a","6.68","0",""
"simple","C1100012","Adesivo Hello","1","visible","1","<p>Adesivos pet em EVA, modelo Hello, desenvolvidos para finalização profissional de banho e tosa. Produzidos com recortes sobrepostos e montagem em camadas, possuem acabamento brilhante e bem definido.</p><p><strong>Conteúdo:</strong> 10 unidades<br/><strong>Modelo:</strong> Hello<br/><strong>Material:</strong> EVA<br/><strong>Cores:</strong> branco com efeito brilhante, preto e vermelho<br/><strong>Composição do pacote:</strong> todos os adesivos são iguais<br/><strong>Acabamento:</strong> montagem em camadas<br/><strong>Aplicação:</strong> diretamente sobre a pelagem do pet</p><p><strong>Fixação e remoção:</strong> fita dupla face de altíssima fixação, que normalmente permanece fixada por 7 a 15 dias, conforme a pelagem e a rotina do pet. Para remover, umedeça com água morna e retire delicadamente, sem puxar os pelos.</p><p><strong>Observação:</strong> as cores e tonalidades podem apresentar pequenas variações conforme o material utilizado e o lote de produção.</p>","14.9","","1","10","0","1","ADESIVOS","","2cb94c70-f0ae-4021-a2cb-78cbfb6841b2","6.74","0",""
"simple","C1100171","Adesivos Poderosas c/20","1","visible","1","<p>Adesivos pet em EVA, modelo florzinha, desenvolvidos para finalização profissional de banho e tosa. Produzidos em camada única, são leves e práticos para aplicação sobre a pelagem.</p><p><strong>Conteúdo:</strong> 40 unidades<br/><strong>Modelo:</strong> florzinha<br/><strong>Material:</strong> EVA<br/><strong>Cores:</strong> sortidas<br/><strong>Acabamento:</strong> camada única, sem sobreposição<br/><strong>Aplicação:</strong> diretamente sobre a pelagem do pet</p><p><strong>Fixação e remoção:</strong> fita dupla face de altíssima fixação, que normalmente permanece fixada por 7 a 15 dias, conforme a pelagem e a rotina do pet. Para remover, umedeça com água morna e retire delicadamente, sem puxar os pelos.</p><p><strong>Observação:</strong> as cores e tonalidades podem variar conforme a disponibilidade do material e o lote de produção.</p>","16.9","","1","0","0","1","ADESIVOS","","cdf25bd3-b210-4c43-8504-f778b7decebd","7","0",""
"simple","C1100172","Adesivos Princess  c/20","1","visible","1","<p>Adesivos pet em EVA, modelo florzinha, desenvolvidos para finalização profissional de banho e tosa. Produzidos em camada única, são leves e práticos para aplicação sobre a pelagem.</p><p><strong>Conteúdo:</strong> 40 unidades<br/><strong>Modelo:</strong> florzinha<br/><strong>Material:</strong> EVA<br/><strong>Cores:</strong> sortidas<br/><strong>Acabamento:</strong> camada única, sem sobreposição<br/><strong>Aplicação:</strong> diretamente sobre a pelagem do pet</p><p><strong>Fixação e remoção:</strong> fita dupla face de altíssima fixação, que normalmente permanece fixada por 7 a 15 dias, conforme a pelagem e a rotina do pet. Para remover, umedeça com água morna e retire delicadamente, sem puxar os pelos.</p><p><strong>Observação:</strong> as cores e tonalidades podem variar conforme a disponibilidade do material e o lote de produção.</p>","16.9","","1","0","0","1","ADESIVOS","","8d6c30b8-5f97-4f30-9d43-3752e488aec0","7","0",""
"simple","C1100132","Babador Ratinha c/ 4","1","visible","1","<p>Babadores pet em feltro, modelo ratinha, desenvolvidos para finalização profissional de banho e tosa e para fotografias. São utilizados ao redor do pescoço do pet e possuem aplique decorativo em EVA, proporcionando um acabamento delicado e diferenciado.</p><p><strong>Conteúdo:</strong> 4 unidades<br/><strong>Tamanho:</strong> único<br/><strong>Material:</strong> feltro<br/><strong>Aplique:</strong> modelo ratinha em EVA<br/><strong>Aplicação:</strong> ao redor do pescoço do pet<br/><strong>Fechamento:</strong> por amarração<br/><strong>Cores:</strong> iguais dentro do mesmo pacote, conforme disponibilidade</p><p><strong>Observação:</strong> a cor do pacote pode variar conforme a disponibilidade de estoque. As cores e tonalidades podem apresentar pequenas diferenças conforme o material e o lote de produção.</p>","19.9","","1","3","0","0","BABADOR","","25971fc2-f4d3-4501-8862-6881562e9914","11.8","0",""
"simple","C1100126","Borboleta 3D - Adesiva","1","visible","1","<p>Adesivos pet em formato de borboleta 3D, indicados para finalização profissional de banho e tosa. São aplicados diretamente sobre a pelagem do pet, proporcionando um acabamento delicado após o banho.</p><p><strong>Conteúdo:</strong> 10 unidades<br/><strong>Modelo:</strong> borboleta 3D<br/><strong>Cores:</strong> sortidas<br/><strong>Aplicação:</strong> diretamente sobre a pelagem do pet</p><p><strong>Fixação e remoção:</strong> fita dupla face de altíssima fixação, que normalmente permanece fixada por 7 a 15 dias, conforme a pelagem e a rotina do pet. Para remover, umedeça com água morna e retire delicadamente, sem puxar os pelos.</p><p><strong>Observação:</strong> as cores e tonalidades podem apresentar pequenas variações conforme o material utilizado e o lote de produção.</p>","16.9","","1","4","0","0","ADESIVOS","","762789c0-9d7f-40cc-8c78-4369edfc1459","7.84","0",""
"simple","C1100129","Colarinho com botão - M1","1","visible","1","<p>Colarinhos pet tamanho M1, confeccionados em tecido de poliéster para finalização profissional de banho e tosa. Possuem acabamento em viés de TNT e fechamento por botão de pressão.</p><p><strong>Conteúdo:</strong> 5 unidades<br/><strong>Tamanho:</strong> M1<br/><strong>Material:</strong> tecido de poliéster<br/><strong>Acabamento:</strong> viés de TNT<br/><strong>Fechamento:</strong> botão de pressão<br/><strong>Estampas:</strong> 5 estampas diferentes, sem repetição</p><p><strong>Observação:</strong> as estampas, cores e tonalidades — inclusive a cor do viés — podem variar conforme o material disponível e o lote de produção.</p>","20.9","","1","32","0","1","COLARINHOS","","caf48824-d622-4a07-82c9-ff3b0f34aad8","11.64","0",""
"simple","C1100041","Colarinho com botão - M2","1","visible","1","<p>Colarinhos pet tamanho M2, confeccionados em tecido de poliéster para finalização profissional de banho e tosa. Possuem acabamento em viés de TNT e fechamento por botão de pressão.</p><p><strong>Conteúdo:</strong> 5 unidades<br/><strong>Tamanho:</strong> M2<br/><strong>Material:</strong> tecido de poliéster<br/><strong>Acabamento:</strong> viés de TNT<br/><strong>Fechamento:</strong> botão de pressão<br/><strong>Estampas:</strong> 5 estampas diferentes, sem repetição</p><p><strong>Observação:</strong> as estampas, cores e tonalidades — inclusive a cor do viés — podem variar conforme o material disponível e o lote de produção.</p>","22.9","","1","22","0","1","COLARINHOS","","60add9f5-a306-46f0-abed-dbc35f5d1e51","12.81","0",""
